dtxsid,aver_toxvalmgL,error,species_common,toxval_type,exactMass,molformula,aver_toxval_cm,weight
DTXSID7024320,0.42254523686640166,-0.2,bluegill,LC50stat,213.8910609,C6H2Cl4,-1.9076473977148223,2.4224149331700895
DTXSID4024359,0.0687722799988359,0.1944848638491149,bluegill,LC50stat,195.9249478,C6H3Cl3O,-2.2233174597326895,3.254994260901688
DTXSID5024394,1.8102852113115613,-0.2,bluegill,LC50stat,60.021129369,C2H4O2,0.031981048378171756,2.4224149331700895
DTXSID2024662,1.5455516253989618,-0.2,bluegill,LC50stat,394.189257325,C23H26N2O4,-1.05015315905982,2.4224149331700895
DTXSID2024791,0.553440751219945,-0.2,bluegill,LC50stat,162.0236279,C10H7Cl,-1.656137601090204,2.4224149331700895
DTXSID2024793,0.9123753664564225,0.14667587469169222,bluegill,LC50stat,205.9901349,C8H8Cl2O2,-1.4014710555579581,3.254994260901688
DTXSID7024873,0.08059916275099052,-0.2,bluegill,LC50stat,129.017440969,C3H3N3O3,-2.0300492607622087,2.4224149331700895
DTXSID6024917,2.4316657741405328,-0.2,bluegill,LC50stat,116.083729626,C6H12O2,0.3668944211445998,2.4224149331700895
DTXSID0024979,1.979809695972056,-0.2,bluegill,LC50stat,189.9588348,C7H4Cl2O2,-0.2988498010008732,2.4224149331700895
DTXSID3025049,3.471313028918758,-0.2,bluegill,LC50stat,120.078644246,C5H12O3,1.3918472530796542,2.4224149331700895
DTXSID6025355,1.266442173246481,0.18932685670427468,bluegill,LC50stat,100.052429498,C5H8O2,-0.7337854655005096,3.254994260901688
DTXSID6025432,0.21501851986331683,-0.2,bluegill,LC50stat,71.037113785,C3H5NO,-1.636466788021083,2.4224149331700895
DTXSID8025541,1.1781661999160418,0.6966300824398718,bluegill,LC50stat,246.014938309,C6H15O4PS2,-1.2127952788466694,1.8971158630957023
DTXSID6025567,1.0503098178173182,0,bluegill,LC50stat,151.063328534,C8H9NO2,-1.1288492319071504,3.254994260901688
